x (sign(x), time)
1373 (9834, 19)
1374 (5632, 19)
1375 (6846, 19)
1376 (9304, 19)
1377 (4514, 19)
1378 (175, 19)
1379 (5922, 19)
1380 (2350, 19)
1381 (10948, 19)
1382 (2610, 217)
1383 (7610, 19)
1384 (4663, 19)
1385 (497, 19)
1386 (10615, 19)
1387 (10459, 19)
1388 (3957, 19)
1389 (7286, 19)
1390 (4270, 19)
1391 (6175, 19)
1392 (8393, 19)
1393 (6172, 19)
1394 (5009, 19)
1395 (3046, 118)
1396 (1052, 19)
1397 (135, 19)
1398 (4003, 19)
1399 (471, 19)
1400 (1877, 19)
1401 (3876, 19)
1402 (8220, 19)
1403 (9924, 19)
1404 (7303, 19)
1405 (9847, 19)
1406 (6884, 19)
1407 (391, 19)
1408 (7031, 19)
1409 (2882, 19)
1410 (5790, 19)
1411 (8270, 19)
1412 (9704, 217)
1413 (10636, 19)
1414 (9132, 19)
1415 (10256, 19)
1416 (8983, 19)
1417 (5738, 19)
1418 (2095, 19)
1419 (4303, 19)
1420 (8572, 19)
1421 (8291, 19)
1422 (2167, 19)
1423 (10086, 19)
1424 (6294, 19)
1425 (5355, 19)
1426 (8456, 19)
1427 (6845, 19)
1428 (4159, 19)
1429 (2903, 19)
1430 (344, 19)
1431 (1658, 19)
1432 (9422, 19)
1433 (4828, 19)
1434 (8628, 19)
1435 (3414, 19)
1436 (9551, 19)
1437 (4179, 217)
1438 (6152, 19)
1439 (8821, 19)
1440 (5492, 19)
1441 (10253, 19)
1442 (9679, 19)
1443 (7108, 19)
1444 (9731, 19)
1445 (9854, 19)
1446 (7299, 19)
1447 (2989, 19)
1448 (8255, 118)
1449 (6968, 19)
1450 (3663, 19)
1451 (4990, 19)
1452 (8585, 19)
1453 (3136, 19)
1454 (1454, 19)
1455 (10767, 19)
1456 (4366, 19)
1457 (10153, 19)
1458 (2861, 19)
1459 (7717, 19)
1460 (2060, 118)
1461 (7970, 19)
1462 (4064, 19)
1463 (1570, 19)
1464 (1140, 19)
1465 (6151, 19)
1466 (5595, 19)
1467 (1816, 19)
1468 (7005, 19)
1469 (2260, 19)
1470 (8476, 19)
1471 (1461, 19)
1472 (10338, 118)
1473 (5036, 19)
1474 (1798, 19)
1475 (10069, 19)
1476 (10287, 19)
1477 (10110, 19)
1478 (2121, 19)
1479 (5617, 19)
1480 (529, 19)
1481 (6797, 19)
1482 (8742, 19)
1483 (4601, 19)
1484 (10750, 19)
1485 (10650, 19)
1486 (5540, 19)
1487 (8344, 19)
1488 (1422, 19)
1489 (2185, 19)
1490 (9373, 19)
1491 (62, 217)
1492 (4792, 19)
1493 (5514, 118)
1494 (9253, 19)
1495 (802, 19)
1496 (3090, 19)
1497 (8279, 19)
1498 (384, 19)
1499 (1236, 19)
1500 (515, 19)
1501 (4296, 19)
1502 (2766, 19)
1503 (7660, 19)
1504 (3689, 19)
1505 (144, 19)
1506 (748, 19)
1507 (1619, 19)
1508 (1577, 118)
1509 (10092, 19)
1510 (5107, 19)
1511 (1178, 19)
1512 (8607, 19)
1513 (6849, 19)
1514 (1955, 19)
1515 (6751, 19)
1516 (6534, 19)
1517 (1879, 19)
1518 (1598, 19)
1519 (4398, 19)
1520 (3781, 19)
1521 (2511, 19)
1522 (3221, 19)
1523 (6807, 19)
1524 (9852, 19)
1525 (9591, 19)
1526 (3291, 19)
1527 (4612, 19)
1528 (8448, 19)
1529 (7288, 19)
1530 (8902, 19)
1531 (965, 19)
1532 (4190, 19)
1533 (2470, 19)
1534 (1172, 19)
1535 (7704, 118)
1536 (1837, 217)
1537 (2000, 19)
1538 (5694, 19)
1539 (1337, 19)
1540 (3907, 19)
1541 (7888, 19)
1542 (3355, 19)
1543 (9045, 19)
1544 (9003, 19)
1545 (495, 19)
1546 (760, 19)
1547 (9871, 19)
1548 (9064, 19)
1549 (6839, 19)
1550 (9829, 19)
1551 (1745, 19)
1552 (4753, 19)
1553 (1650, 19)
1554 (1326, 19)
1555 (6741, 19)
1556 (10724, 19)
1557 (4194, 19)
1558 (4769, 19)
1559 (8429, 19)
1560 (503, 19)
1561 (9385, 19)
1562 (1883, 19)
1563 (9087, 19)
1564 (8606, 19)
1565 (5647, 19)
1566 (5170, 19)
1567 (8573, 19)
1568 (6699, 19)
1569 (10920, 19)
1570 (4842, 19)
1571 (149, 19)
1572 (2406, 19)
1573 (3303, 19)
1574 (3902, 19)
1575 (6098, 19)
1576 (8915, 19)
1577 (9841, 19)
1578 (6603, 19)
1579 (9324, 19)
1580 (9839, 19)
1581 (10847, 19)
1582 (2599, 19)
1583 (4182, 19)
1584 (4173, 19)
1585 (4914, 19)
1586 (8878, 19)
1587 (6657, 19)
1588 (9956, 19)
1589 (9157, 19)
1590 (2313, 19)
1591 (426, 19)
1592 (3809, 19)
1593 (6970, 19)
1594 (10413, 19)
1595 (8629, 19)
1596 (6183, 19)
1597 (806, 19)
1598 (28, 19)
1599 (1020, 19)
1600 (773, 19)
1601 (9897, 19)
1602 (4897, 19)
1603 (3949, 19)
1604 (7633, 19)
1605 (3323, 19)
1606 (3593, 118)
1607 (3264, 19)
1608 (8938, 19)
1609 (265, 19)
1610 (2290, 19)
1611 (9424, 19)
1612 (10728, 19)
1613 (8086, 19)
1614 (9833, 118)
1615 (5478, 19)
1616 (5174, 19)
1617 (7079, 19)
1618 (6585, 19)
1619 (1087, 19)
1620 (2636, 19)
1621 (3159, 19)
1622 (9979, 19)
1623 (8723, 19)
1624 (7619, 19)
1625 (6799, 19)
1626 (5154, 19)
1627 (5119, 19)
1628 (5621, 19)
1629 (6421, 19)
1630 (6738, 19)
1631 (5440, 19)
1632 (9935, 19)
1633 (6493, 19)
1634 (9178, 19)
1635 (3560, 19)
1636 (10649, 19)
1637 (6914, 19)
1638 (2359, 19)
1639 (3743, 19)
1640 (2352, 19)
1641 (4832, 19)
1642 (9322, 19)
1643 (4834, 19)
1644 (2208, 19)
1645 (9840, 19)
1646 (10719, 118)
1647 (6822, 19)
1648 (3297, 19)
1649 (8730, 19)
1650 (9119, 19)
1651 (7728, 19)
1652 (9360, 19)
1653 (7523, 19)
1654 (2351, 19)
1655 (9231, 19)
1656 (10175, 118)
1657 (6517, 19)
1658 (1625, 19)
1659 (6636, 19)
1660 (4334, 19)
1661 (1719, 19)
1662 (3901, 19)
1663 (902, 19)
1664 (8864, 19)
1665 (685, 19)
1666 (8204, 19)
1667 (6976, 19)
1668 (4029, 19)
1669 (5413, 118)
1670 (5437, 19)
1671 (701, 19)
1672 (10463, 19)
1673 (7848, 217)
1674 (7125, 19)
1675 (2335, 19)
1676 (1855, 19)
1677 (5668, 118)
1678 (9489, 19)
1679 (5509, 19)
1680 (4279, 19)
1681 (9411, 19)
1682 (5496, 19)
1683 (8684, 19)
1684 (5008, 19)
1685 (2293, 19)
1686 (2173, 118)
1687 (7066, 19)
1688 (4403, 118)
1689 (7107, 19)
1690 (5321, 118)
1691 (10219, 19)
1692 (9211, 19)
1693 (460, 19)
1694 (903, 19)
1695 (2938, 19)
1696 (10623, 19)
1697 (7563, 19)
1698 (2428, 19)
1699 (629, 19)
1700 (1233, 19)
1701 (6566, 19)
1702 (7688, 19)
1703 (392, 19)
1704 (5398, 19)
1705 (984, 19)
1706 (4145, 19)
1707 (4424, 19)
1708 (6708, 19)
1709 (4714, 19)
1710 (8377, 19)
1711 (5565, 19)
1712 (3732, 19)
1713 (9248, 19)
1714 (2326, 19)
1715 (377, 118)
1716 (4288, 19)
1717 (8650, 118)
1718 (4905, 19)
1719 (3480, 19)
1720 (6880, 19)
1721 (4418, 19)
1722 (9418, 19)
1723 (595, 19)
1724 (1627, 19)
1725 (9598, 19)
1726 (7973, 19)
1727 (3731, 19)
1728 (9320, 19)
1729 (10711, 19)
1730 (9791, 19)
1731 (2291, 19)
1732 (1426, 19)
1733 (6478, 19)
1734 (221, 118)
1735 (2747, 19)
1736 (9175, 19)
1737 (5359, 19)
1738 (3183, 19)
1739 (7188, 19)
1740 (1051, 19)
1741 (6864, 19)
1742 (1110, 19)
1743 (4026, 19)
1744 (129, 118)
1745 (5528, 19)
1746 (2425, 19)
1747 (5336, 19)
1748 (5594, 19)
1749 (7711, 19)
1750 (10530, 19)
1751 (7783, 118)
1752 (9619, 19)
1753 (3482, 19)
1754 (2346, 19)
1755 (10452, 19)
1756 (10710, 19)
1757 (7632, 19)
1758 (2495, 19)
1759 (7781, 118)
1760 (8856, 19)
1761 (10416, 19)
1762 (4662, 217)
1763 (4712, 118)
1764 (2417, 19)
1765 (6648, 19)
1766 (2212, 19)
1767 (3594, 19)
1768 (5163, 19)
1769 (1248, 19)
1770 (2901, 19)
1771 (10326, 118)
1772 (7088, 19)
1773 (8063, 19)
1774 (9742, 19)
1775 (7743, 19)
1776 (1241, 19)
1777 (4570, 19)
1778 (3397, 19)
1779 (2780, 19)
1780 (10818, 19)
1781 (8888, 19)
1782 (5300, 19)
1783 (4307, 19)
1784 (3865, 118)
1785 (8768, 19)
1786 (6040, 118)
1787 (2605, 118)
1788 (5951, 19)
1789 (1742, 19)
1790 (7250, 19)
1791 (10506, 19)
1792 (5848, 19)
1793 (10720, 19)
1794 (1840, 19)
1795 (3010, 19)
1796 (435, 19)
1797 (10545, 19)
1798 (9864, 19)
1799 (704, 118)
1800 (5145, 19)
1801 (9375, 19)
1802 (4282, 19)
1803 (2496, 19)
1804 (4230, 19)
1805 (7290, 19)
1806 (9952, 19)
1807 (8474, 19)
1808 (8475, 19)
1809 (2374, 19)
1810 (5077, 19)
1811 (5818, 19)
1812 (7070, 19)
1813 (1572, 19)
1814 (7583, 19)
1815 (9270, 19)
1816 (279, 19)
1817 (9014, 19)
1818 (7425, 118)
1819 (2337, 19)
1820 (2729, 19)
1821 (9872, 19)
1822 (3584, 19)
1823 (8264, 19)
1824 (10424, 19)
1825 (7574, 19)
1826 (3824, 19)
1827 (5038, 19)
1828 (7044, 19)
1829 (4627, 19)
1830 (1531, 217)
1831 (1967, 19)
1832 (7209, 19)
1833 (7332, 19)
1834 (2158, 217)
1835 (5802, 118)
1836 (2629, 19)
1837 (8520, 19)
1838 (10841, 19)
1839 (2662, 19)
1840 (1019, 19)
1841 (4009, 19)
1842 (6304, 19)
1843 (5723, 217)
1844 (9410, 19)
1845 (3460, 19)
1846 (3540, 19)
1847 (3837, 19)
1848 (8171, 19)
1849 (4090, 19)
1850 (6489, 19)
1851 (697, 19)
1852 (8318, 19)
1853 (6927, 19)
1854 (1327, 19)
1855 (4726, 19)
1856 (1088, 19)
1857 (2163, 19)
1858 (1686, 19)
1859 (9318, 19)
1860 (929, 19)
1861 (283, 19)
1862 (4999, 19)
1863 (5219, 19)
1864 (9026, 19)
1865 (5551, 19)
1866 (5516, 19)
1867 (9691, 19)
1868 (8192, 19)
1869 (201, 19)
1870 (400, 19)
1871 (10518, 19)
1872 (662, 118)
1873 (9195, 19)
1874 (6122, 19)
1875 (7374, 19)
1876 (10249, 19)
1877 (6259, 19)
1878 (546, 19)
1879 (2099, 19)
1880 (2464, 19)
1881 (8327, 19)
1882 (10514, 19)
1883 (1093, 19)
1884 (5806, 19)
1885 (10704, 19)
1886 (7950, 19)
1887 (363, 19)
1888 (8760, 19)
1889 (1580, 19)
1890 (50, 19)
1891 (6787, 19)
1892 (294, 19)
1893 (2569, 19)
1894 (3464, 19)
1895 (1910, 118)
1896 (2838, 19)
1897 (1944, 118)
1898 (2779, 19)
1899 (3215, 118)
1900 (10741, 118)
1901 (10923, 19)
1902 (10782, 19)
1903 (5781, 118)
1904 (7116, 19)
1905 (424, 19)
1906 (2471, 19)
1907 (10315, 19)
1908 (6400, 19)
1909 (6876, 19)
1910 (10884, 19)
1911 (10881, 19)
1912 (2286, 19)
1913 (5032, 19)
1914 (2030, 19)
1915 (10723, 19)
1916 (688, 19)
1917 (2535, 19)
1918 (10454, 19)
1919 (8822, 19)
1920 (8361, 19)
1921 (2373, 19)
1922 (6216, 19)
1923 (10614, 19)
1924 (8530, 19)
1925 (2776, 19)
1926 (1911, 19)
1927 (464, 19)
1928 (6332, 19)
1929 (4008, 19)
1930 (9466, 19)
1931 (5165, 19)
1932 (9682, 19)
1933 (4763, 118)
1934 (5804, 19)
1935 (4827, 19)
1936 (2953, 19)
1937 (7712, 19)
1938 (2263, 19)
1939 (10378, 19)
1940 (970, 19)
1941 (3202, 19)
1942 (6661, 118)
1943 (9554, 118)
1944 (5583, 19)
1945 (1672, 118)
1946 (2247, 19)
1947 (3288, 19)
1948 (3316, 118)
1949 (3759, 19)
1950 (3435, 19)
1951 (5304, 19)
1952 (6278, 19)
1953 (9042, 19)
1954 (6043, 19)
1955 (2462, 19)
1956 (1655, 19)
1957 (5003, 19)
1958 (9110, 19)
1959 (828, 19)
1960 (9487, 19)
1961 (9414, 19)
1962 (22, 19)
1963 (8523, 19)
1964 (8042, 19)
1965 (6058, 19)
1966 (7379, 19)
1967 (5056, 19)
1968 (1788, 19)
1969 (4930, 19)
1970 (2502, 19)
1971 (8353, 19)
1972 (1069, 19)
1973 (6466, 19)
1974 (4125, 19)
1975 (9858, 19)
1976 (5106, 19)
1977 (7896, 118)
1978 (8715, 118)
1979 (3821, 19)
1980 (7883, 19)
1981 (3672, 19)
1982 (3817, 19)
1983 (287, 19)
1984 (1139, 19)
1985 (1679, 19)
1986 (9534, 19)
1987 (1602, 19)
1988 (10764, 19)
1989 (7763, 19)
1990 (8971, 19)
1991 (6083, 19)
1992 (9670, 19)
1993 (995, 19)
1994 (6406, 19)
1995 (4525, 19)
1996 (9229, 19)
1997 (2981, 19)
1998 (4715, 19)
1999 (6029, 19)
2000 (9855, 19)
2001 (5370, 19)
2002 (7117, 118)
2003 (2762, 19)
2004 (4301, 19)
2005 (3684, 19)
2006 (9010, 19)
2007 (3803, 19)
2008 (2927, 19)
2009 (4420, 19)
2010 (1831, 19)
2011 (6395, 19)
2012 (9656, 19)
2013 (8933, 118)
2014 (9228, 19)
2015 (2985, 19)
2016 (4651, 19)
2017 (7003, 19)
2018 (5283, 19)
2019 (6313, 19)
2020 (4891, 19)
2021 (9112, 19)
2022 (2582, 19)
2023 (262, 19)
2024 (3762, 19)
2025 (10309, 19)
2026 (8761, 19)
2027 (2482, 19)
2028 (8463, 19)
2029 (8033, 19)
2030 (4569, 19)
2031 (6386, 19)
2032 (10065, 19)
2033 (3050, 19)
2034 (10622, 19)
2035 (905, 19)
2036 (6207, 19)
2037 (4462, 19)
2038 (9895, 19)
2039 (3945, 19)
2040 (8487, 19)
2041 (9948, 19)
2042 (9432, 19)
2043 (4381, 19)
2044 (6295, 19)
2045 (7196, 19)
2046 (5893, 19)
2047 (719, 19)
2048 (10251, 19)
2049 (6569, 19)
2050 (4774, 19)
2051 (4297, 19)
2052 (6536, 19)
2053 (7863, 19)
2054 (9756, 19)
2055 (1350, 19)
2056 (6842, 118)
2057 (272, 19)
2058 (2915, 19)
2059 (9140, 19)
2060 (5322, 19)
2061 (10661, 19)
2062 (1499, 19)
2063 (3887, 19)
2064 (9033, 19)
2065 (3340, 19)
2066 (1923, 19)
2067 (6382, 19)
2068 (9129, 19)
2069 (4367, 19)
2070 (10540, 19)
2071 (1991, 19)
2072 (5687, 19)
2073 (9374, 118)
2074 (8284, 19)
2075 (3186, 19)
2076 (6828, 19)
2077 (6234, 19)
2078 (1538, 19)
2079 (34, 19)
2080 (4943, 19)
2081 (3370, 19)
2082 (5947, 19)
2083 (2841, 19)
2084 (3833, 19)
2085 (4459, 19)
2086 (3980, 19)
2087 (6837, 19)
2088 (4434, 19)
2089 (1716, 19)
2090 (6427, 118)
2091 (6794, 217)
2092 (8793, 19)
2093 (5058, 19)
2094 (847, 19)
2095 (8789, 19)
2096 (9327, 19)
2097 (10631, 19)
2098 (9250, 217)
2099 (4110, 19)
2100 (4314, 19)
2101 (8278, 19)
2102 (192, 19)
2103 (4451, 19)
2104 (6422, 19)
2105 (10687, 19)
2106 (2577, 19)
2107 (6293, 19)
2108 (8141, 19)
2109 (4709, 19)
2110 (1173, 19)
2111 (3020, 19)
2112 (9193, 19)
2113 (8725, 19)
2114 (5257, 19)
2115 (1015, 19)
2116 (6604, 19)
2117 (9838, 19)
2118 (6396, 19)
2119 (4716, 19)
2120 (4142, 19)
2121 (6769, 19)
2122 (1482, 19)
2123 (5560, 19)
2124 (6847, 19)
2125 (7396, 19)
2126 (5317, 19)
2127 (301, 118)
2128 (9878, 19)
2129 (5894, 19)
2130 (1692, 19)
2131 (2571, 19)
2132 (1002, 19)
2133 (484, 19)
2134 (5044, 19)
2135 (9701, 19)
2136 (2296, 19)
2137 (824, 19)
2138 (2964, 217)
2139 (3224, 19)
2140 (8358, 19)
2141 (9593, 19)
2142 (5547, 19)
2143 (5699, 19)
2144 (1301, 19)
2145 (4528, 19)
2146 (6666, 19)
2147 (7684, 19)
2148 (2939, 19)
2149 (2365, 19)
2150 (394, 19)
2151 (5488, 19)
2152 (9595, 19)
2153 (5775, 19)
2154 (4637, 19)
2155 (10675, 19)
2156 (313, 19)
2157 (8329, 19)
2158 (3580, 19)
2159 (3633, 19)
2160 (1171, 19)
2161 (3019, 19)
2162 (3631, 19)
2163 (8616, 19)
2164 (4636, 19)
2165 (2242, 19)
2166 (10575, 19)
2167 (4332, 19)
2168 (5192, 19)
2169 (740, 19)
2170 (159, 19)
2171 (1785, 118)
2172 (1343, 19)
2173 (3627, 19)
2174 (8853, 19)
2175 (7940, 19)
2176 (7503, 19)
2177 (8920, 19)
2178 (4922, 19)
2179 (2940, 19)
2180 (6721, 19)
2181 (4609, 19)
2182 (7757, 19)
2183 (8054, 19)
2184 (4703, 19)
2185 (263, 19)
2186 (5984, 19)
2187 (6815, 19)
2188 (1265, 19)
2189 (839, 19)
2190 (3409, 19)
2191 (9674, 19)
2192 (5006, 19)
2193 (3022, 19)
2194 (1901, 19)
2195 (2557, 19)
2196 (8378, 19)
2197 (6545, 19)
2198 (1973, 19)
2199 (7370, 19)
2200 (2317, 19)
2201 (4773, 19)
2202 (2733, 19)
2203 (8009, 19)
2204 (6681, 19)
2205 (1448, 19)
2206 (538, 217)
2207 (10000, 19)
2208 (7094, 19)
2209 (1530, 19)
2210 (9501, 19)
2211 (9137, 19)
2212 (8969, 19)
2213 (8156, 118)
2214 (2854, 19)
2215 (2904, 19)
2216 (157, 19)
2217 (6761, 19)
2218 (3568, 19)
2219 (10600, 19)
2220 (10022, 19)
2221 (8593, 19)
2222 (2449, 19)
2223 (8518, 19)
2224 (5054, 19)
2225 (5125, 19)
2226 (9968, 19)
2227 (10907, 19)
2228 (9264, 19)
2229 (1293, 19)
2230 (5431, 19)
2231 (2328, 19)
2232 (874, 19)
2233 (6176, 19)
2234 (3831, 19)
2235 (5098, 19)
2236 (23, 118)
2237 (1762, 19)
2238 (8526, 118)
2239 (2831, 19)
2240 (1431, 19)
2241 (4793, 19)
2242 (357, 19)
2243 (5308, 19)
2244 (10594, 19)
2245 (3036, 19)
2246 (7603, 19)
2247 (976, 19)
2248 (5294, 19)
2249 (7946, 19)
2250 (9073, 19)
2251 (8614, 19)
2252 (4467, 19)
2253 (4290, 19)
2254 (666, 19)
2255 (1931, 19)
2256 (3439, 19)
2257 (1753, 19)
2258 (8257, 19)
2259 (3728, 19)
2260 (565, 19)
2261 (3278, 19)
2262 (9032, 19)
2263 (3106, 19)
2264 (64, 19)
2265 (2476, 19)
2266 (10634, 19)
2267 (4524, 19)
2268 (9545, 19)
2269 (3477, 118)
2270 (6634, 19)
2271 (1772, 19)
2272 (10074, 19)
2273 (4787, 118)
2274 (2906, 19)
2275 (5213, 19)
2276 (9633, 19)
2277 (4975, 19)
2278 (8683, 19)
2279 (3004, 19)
2280 (1846, 19)
2281 (7904, 19)
2282 (6277, 19)
2283 (7730, 19)
2284 (316, 118)
2285 (10383, 19)
2286 (8599, 19)
2287 (6028, 19)
2288 (5115, 19)
2289 (1514, 19)
2290 (6999, 19)
2291 (3453, 19)
2292 (10511, 19)
2293 (1297, 19)
2294 (7321, 19)
2295 (5271, 19)
2296 (483, 19)
2297 (183, 19)
2298 (602, 19)
2299 (7001, 118)
2300 (8397, 19)
2301 (1152, 19)
2302 (4455, 19)
2303 (9850, 19)
2304 (7866, 19)
2305 (3311, 19)
2306 (6186, 217)
2307 (771, 19)
2308 (2444, 19)
2309 (2276, 19)
2310 (10387, 19)
2311 (7510, 19)
2312 (10082, 19)
2313 (8984, 19)
2314 (5112, 19)
2315 (6575, 19)
2316 (5071, 19)
2317 (10410, 19)
2318 (1900, 19)
2319 (9239, 19)
2320 (6384, 19)
2321 (9128, 19)
2322 (8423, 19)
2323 (10744, 19)
2324 (3826, 19)
2325 (6257, 19)
2326 (2845, 19)
2327 (9408, 19)
2328 (9797, 19)
2329 (7276, 19)
2330 (8795, 19)
2331 (630, 19)
2332 (3255, 19)
2333 (4485, 19)
2334 (3508, 19)
2335 (3579, 19)
2336 (6032, 19)
2337 (6184, 19)
2338 (40, 19)
2339 (4431, 19)
2340 (3562, 19)
2341 (6326, 19)
2342 (3327, 19)
2343 (1589, 19)
2344 (9221, 19)
2345 (7428, 19)
2346 (865, 118)
2347 (1119, 19)
2348 (10748, 19)
2349 (1266, 19)
2350 (8655, 19)
2351 (10560, 19)
2352 (10176, 118)
2353 (10132, 19)
2354 (5245, 19)
2355 (4086, 19)
2356 (2370, 19)
2357 (3475, 19)
2358 (3375, 19)
2359 (3309, 19)
2360 (3688, 19)
2361 (10831, 19)
2362 (827, 19)
2363 (2971, 19)
2364 (8501, 217)
2365 (3337, 19)
2366 (7454, 19)
2367 (9932, 19)
2368 (123, 19)
2369 (9880, 19)
2370 (5369, 19)
2371 (8144, 19)
2372 (5310, 19)
2373 (1582, 19)
2374 (3617, 19)
2375 (4512, 19)
2376 (6496, 19)
2377 (8539, 19)
2378 (5188, 19)
2379 (5210, 19)
2380 (1134, 19)
2381 (8076, 19)
2382 (1556, 415)
2383 (645, 19)
2384 (9908, 19)
2385 (7249, 118)
2386 (9759, 118)
2387 (985, 19)
2388 (3744, 19)
2389 (6243, 19)
2390 (10512, 19)
2391 (434, 118)
2392 (518, 19)
2393 (5236, 19)
2394 (3384, 118)
2395 (6616, 118)
2396 (8747, 19)
2397 (1898, 19)
2398 (10270, 19)
2399 (1254, 19)
2400 (1508, 19)
2401 (3307, 19)
2402 (10780, 19)
2403 (10163, 19)
2404 (2323, 19)
2405 (10398, 19)
2406 (6156, 19)
2407 (202, 19)
2408 (10808, 19)
2409 (3195, 19)
2410 (6850, 19)
2411 (941, 19)
2412 (10843, 118)
2413 (5459, 19)
2414 (4881, 19)
2415 (4907, 19)
2416 (7590, 19)
2417 (4250, 19)
2418 (5345, 19)
2419 (2118, 217)
2420 (2014, 118)
2421 (8094, 19)
2422 (10525, 118)
2423 (5076, 19)
2424 (3103, 19)
2425 (6014, 19)
2426 (5142, 19)
2427 (7146, 217)
2428 (3637, 19)
2429 (8687, 19)
2430 (4873, 118)
2431 (7776, 19)
2432 (10369, 19)
2433 (3898, 19)
2434 (10258, 19)
2435 (3338, 19)
2436 (5207, 19)
2437 (7442, 19)
2438 (3319, 19)
2439 (4879, 118)
2440 (5566, 19)
2441 (5729, 19)
2442 (2869, 19)
2443 (3484, 19)
2444 (8879, 19)
2445 (8905, 19)
2446 (5728, 19)
2447 (10401, 19)
2448 (5613, 19)
2449 (2416, 19)
2450 (3924, 19)
2451 (492, 19)
2452 (8160, 19)
2453 (624, 19)
2454 (10168, 19)
2455 (3666, 19)
2456 (8256, 19)
2457 (972, 19)
2458 (2004, 19)
2459 (4707, 19)
2460 (5978, 19)
2461 (10635, 19)
2462 (136, 118)
2463 (858, 19)
2464 (8865, 19)
2465 (8368, 118)
2466 (5612, 118)
2467 (8861, 19)
2468 (3973, 19)
2469 (3952, 19)
2470 (4492, 19)
2471 (3714, 19)
2472 (9750, 19)
2473 (7078, 19)
2474 (8345, 19)
2475 (3539, 19)
2476 (8508, 19)
2477 (5111, 19)
2478 (1868, 19)
2479 (5533, 19)
2480 (3943, 19)
2481 (8259, 118)
2482 (7055, 19)
2483 (10341, 19)
2484 (6223, 19)
2485 (3841, 19)
2486 (9153, 19)
2487 (9154, 19)
2488 (7224, 19)
2489 (4010, 19)
2490 (968, 19)
2491 (668, 19)
2492 (5549, 19)
2493 (2151, 19)
2494 (9658, 19)
2495 (1443, 19)
2496 (4261, 19)
2497 (5388, 19)
2498 (5441, 19)
2499 (8064, 19)
2500 (4149, 19)
2501 (2614, 19)
2502 (6130, 19)
2503 (4410, 19)
2504 (4276, 19)
2505 (6055, 19)
2506 (7948, 118)
2507 (10051, 19)
2508 (6955, 118)
2509 (1628, 19)
2510 (9921, 19)
2511 (3038, 19)
2512 (1706, 19)
2513 (10209, 19)
2514 (10652, 19)
2515 (1853, 19)
2516 (6095, 19)
2517 (3566, 19)
2518 (5087, 19)
2519 (3444, 19)
2520 (5852, 19)
2521 (6401, 19)
2522 (10088, 19)
2523 (3008, 19)
2524 (2975, 19)
2525 (7905, 118)
2526 (9075, 19)
2527 (10305, 19)
2528 (10783, 19)
2529 (8720, 19)
2530 (1764, 19)
2531 (6475, 19)
2532 (7994, 19)
2533 (7438, 19)
2534 (749, 19)
2535 (7587, 118)
2536 (7110, 19)
2537 (10222, 19)
2538 (1946, 19)
2539 (735, 19)
2540 (1835, 19)
2541 (925, 19)
2542 (3376, 19)
2543 (6116, 19)
2544 (3708, 19)
2545 (1442, 19)
2546 (282, 19)
2547 (7998, 19)
2548 (3790, 19)
2549 (8936, 19)
2550 (4504, 19)
2551 (7161, 19)
2552 (5218, 118)
2553 (1272, 19)
2554 (8441, 19)
2555 (8406, 19)
2556 (7326, 19)
2557 (2777, 19)
2558 (8792, 19)
2559 (4598, 19)
2560 (2604, 118)
2561 (3918, 19)
2562 (608, 19)
2563 (10365, 19)
2564 (4108, 19)
2565 (8047, 19)
2566 (2206, 19)
2567 (224, 19)
2568 (4005, 19)
2569 (3736, 19)
2570 (4362, 19)
2571 (10479, 19)
2572 (7419, 19)
2573 (554, 19)
2574 (7245, 19)
2575 (9628, 118)
2576 (9898, 19)
2577 (2876, 19)
2578 (5543, 118)
2579 (2787, 118)
2580 (2872, 19)
2581 (2052, 118)
2582 (2483, 19)
2583 (1102, 19)
2584 (9251, 19)
2585 (1501, 19)
2586 (4592, 19)
2587 (774, 19)
2588 (9980, 19)
2589 (8847, 19)
2590 (6128, 118)
2591 (3450, 19)
2592 (5420, 19)
2593 (7559, 19)
2594 (3739, 19)
2595 (5247, 19)
2596 (8646, 19)
2597 (9387, 19)
2598 (2711, 19)
2599 (9040, 19)
2600 (3052, 19)
2601 (105, 19)
2602 (9547, 118)
2603 (3680, 19)
2604 (7335, 19)
2605 (5888, 19)
2606 (5993, 118)
2607 (6720, 19)
2608 (5172, 19)
2609 (4713, 19)
2610 (3128, 19)
2611 (1825, 19)
2612 (10098, 118)
2613 (81, 19)
2614 (3857, 19)
2615 (819, 19)
2616 (1698, 19)
2617 (9926, 19)
2618 (1648, 19)
2619 (3880, 19)
2620 (6209, 19)
2621 (8989, 118)
2622 (9651, 19)
2623 (2576, 19)
2624 (8462, 19)
2625 (7582, 19)
2626 (378, 19)
2627 (8166, 19)
2628 (2983, 19)
2629 (1010, 19)
2630 (8990, 19)
2631 (8703, 19)
2632 (506, 19)
2633 (7886, 19)
2634 (2559, 19)
2635 (6020, 19)
2636 (9562, 19)
2637 (8625, 19)
2638 (5193, 19)
2639 (3764, 19)
2640 (587, 19)
2641 (6715, 19)
2642 (10754, 19)
2643 (9109, 19)
2644 (4215, 19)
2645 (8446, 19)
2646 (206, 19)
2647 (8772, 19)
2648 (468, 118)
2649 (7449, 19)
2650 (5928, 19)
2651 (4658, 19)
2652 (6272, 19)
2653 (5677, 19)
2654 (5784, 19)
