x (sign(x), time)
323 (1554, 19)
324 (1228, 19)
325 (9072, 19)
326 (7530, 19)
327 (1226, 19)
328 (8963, 19)
329 (10655, 19)
330 (2851, 19)
331 (1190, 19)
332 (6776, 19)
333 (1683, 19)
334 (9502, 19)
335 (6377, 19)
336 (8081, 19)
337 (8370, 19)
338 (9265, 19)
339 (2034, 19)
340 (9606, 19)
341 (6546, 19)
342 (1524, 19)
343 (8991, 19)
344 (9143, 19)
345 (5436, 19)
346 (3846, 19)
347 (4573, 19)
348 (10935, 118)
349 (3357, 19)
350 (9230, 19)
351 (5102, 19)
352 (4109, 19)
353 (8669, 19)
354 (919, 19)
355 (7599, 19)
356 (3393, 19)
357 (6197, 19)
358 (9332, 19)
359 (3315, 118)
360 (2480, 19)
361 (6390, 19)
362 (3097, 19)
363 (3254, 19)
364 (6993, 19)
365 (9616, 19)
366 (8514, 19)
367 (1838, 19)
368 (6712, 19)
369 (8581, 19)
370 (4470, 19)
371 (6443, 19)
372 (7851, 19)
373 (8790, 19)
374 (3463, 19)
375 (2404, 19)
376 (7302, 19)
377 (4105, 19)
378 (1803, 19)
379 (7493, 19)
380 (5220, 19)
381 (3890, 19)
382 (1827, 19)
383 (7640, 19)
384 (4893, 19)
385 (1892, 19)
386 (8568, 19)
387 (5043, 19)
388 (10864, 19)
389 (4172, 19)
390 (2199, 19)
391 (6353, 19)
392 (2091, 19)
393 (2739, 19)
394 (3411, 19)
395 (8235, 118)
396 (8263, 19)
397 (2013, 19)
398 (9352, 19)
399 (4237, 19)
400 (1331, 19)
401 (5259, 19)
402 (8371, 19)
403 (7894, 19)
404 (2528, 19)
405 (8495, 118)
406 (3193, 19)
407 (7424, 19)
408 (9875, 19)
409 (5631, 19)
410 (7297, 19)
411 (4837, 19)
412 (4259, 19)
413 (6446, 19)
414 (3014, 19)
415 (10100, 19)
416 (5280, 19)
417 (5803, 19)
418 (7934, 19)
419 (10681, 19)
420 (8247, 19)
421 (1519, 19)
422 (3058, 19)
423 (4814, 19)
424 (3360, 19)
425 (1882, 19)
426 (2701, 19)
427 (4985, 19)
428 (8950, 118)
429 (180, 19)
430 (616, 19)
431 (6786, 118)
432 (2109, 118)
433 (612, 19)
434 (4199, 19)
435 (7907, 19)
436 (4944, 19)
437 (9703, 19)
438 (823, 19)
439 (2106, 118)
440 (8797, 19)
441 (7494, 19)
442 (8734, 19)
443 (7823, 19)
444 (9326, 19)
445 (3951, 19)
446 (6655, 19)
447 (7581, 19)
448 (4908, 19)
449 (4691, 19)
450 (2946, 19)
451 (1016, 19)
452 (10509, 19)
453 (2035, 19)
454 (2026, 19)
455 (1863, 19)
456 (10008, 19)
457 (10725, 19)
458 (5323, 19)
459 (7462, 19)
460 (53, 19)
461 (9127, 217)
462 (1662, 19)
463 (1433, 19)
464 (3972, 19)
465 (3996, 19)
466 (2567, 19)
467 (4761, 19)
468 (2175, 19)
469 (6105, 19)
470 (1903, 19)
471 (9671, 19)
472 (7157, 118)
473 (10503, 19)
474 (10119, 19)
475 (3549, 19)
476 (994, 19)
477 (3377, 19)
478 (689, 19)
479 (4446, 19)
480 (3081, 19)
481 (1401, 19)
482 (5869, 19)
483 (10120, 19)
484 (2036, 19)
485 (3783, 19)
486 (4948, 19)
487 (5497, 19)
488 (10427, 19)
489 (10918, 19)
490 (9529, 19)
491 (7679, 19)
492 (8623, 19)
493 (2734, 19)
494 (5020, 19)
495 (7703, 19)
496 (2103, 19)
497 (8509, 19)
498 (9915, 19)
499 (10602, 118)
500 (1201, 19)
501 (6796, 217)
502 (10726, 19)
503 (7849, 19)
504 (3641, 19)
505 (7741, 19)
506 (3982, 19)
507 (10304, 19)
508 (10269, 19)
509 (4647, 217)
510 (10714, 19)
511 (9804, 19)
512 (7966, 19)
513 (9354, 19)
514 (9101, 19)
515 (8710, 19)
516 (3600, 118)
517 (5240, 19)
518 (3071, 19)
519 (7035, 19)
520 (1322, 19)
521 (9762, 19)
522 (4501, 19)
523 (10461, 19)
524 (3142, 19)
525 (2451, 19)
526 (1926, 118)
527 (6630, 19)
528 (9987, 19)
529 (6862, 19)
530 (6820, 19)
531 (8273, 19)
532 (6161, 19)
533 (676, 217)
534 (9994, 19)
535 (5770, 19)
536 (10351, 19)
537 (10931, 19)
538 (413, 19)
539 (780, 19)
540 (9957, 19)
541 (6125, 118)
542 (8316, 19)
543 (5588, 19)
544 (4865, 118)
545 (640, 118)
546 (8183, 19)
547 (9736, 19)
548 (10619, 19)
549 (2458, 19)
550 (2132, 19)
551 (7264, 19)
552 (2445, 19)
553 (9814, 19)
554 (9076, 19)
555 (8621, 19)
556 (478, 19)
557 (4806, 19)
558 (2143, 19)
559 (4960, 19)
560 (10745, 19)
561 (3778, 19)
562 (4578, 19)
563 (7805, 19)
564 (4858, 19)
565 (5085, 19)
566 (4747, 19)
567 (8693, 19)
568 (2202, 118)
569 (2889, 19)
570 (7787, 19)
571 (9052, 19)
572 (7914, 19)
573 (8754, 19)
574 (5511, 19)
575 (3696, 19)
576 (8326, 19)
577 (5215, 19)
578 (9646, 19)
579 (10816, 19)
580 (10411, 19)
581 (8729, 19)
582 (2037, 19)
583 (9022, 19)
584 (744, 19)
585 (4219, 118)
586 (3158, 19)
587 (4582, 217)
588 (9425, 19)
589 (2124, 118)
590 (891, 19)
591 (1819, 217)
592 (10322, 19)
593 (8505, 19)
594 (5017, 19)
595 (2931, 19)
596 (1193, 19)
597 (9155, 19)
598 (10676, 19)
599 (541, 19)
600 (186, 19)
601 (7715, 19)
602 (5607, 19)
603 (10772, 19)
604 (3611, 19)
605 (10657, 19)
606 (10079, 19)
607 (2760, 19)
608 (8155, 19)
609 (5832, 19)
610 (5571, 19)
611 (2796, 19)
612 (10941, 118)
613 (7868, 19)
614 (9508, 19)
615 (5302, 19)
616 (730, 19)
617 (8500, 19)
618 (7628, 19)
619 (2852, 19)
620 (2507, 19)
621 (8574, 19)
622 (2839, 118)
623 (6194, 19)
624 (2459, 19)
625 (7853, 19)
626 (10936, 19)
627 (10118, 118)
628 (9049, 19)
629 (10041, 19)
630 (8630, 19)
631 (585, 19)
632 (9747, 19)
633 (6859, 19)
634 (6372, 19)
635 (3032, 19)
636 (8540, 19)
637 (8114, 19)
638 (10587, 19)
639 (10062, 118)
640 (641, 19)
641 (8066, 19)
642 (5393, 19)
643 (3430, 19)
644 (2849, 19)
645 (8873, 19)
646 (9151, 19)
647 (2423, 19)
648 (1250, 19)
649 (10690, 19)
650 (987, 19)
651 (1995, 19)
652 (667, 19)
653 (2612, 19)
654 (1605, 19)
655 (6508, 19)
656 (3893, 19)
657 (8029, 19)
658 (10471, 19)
659 (8070, 19)
660 (3634, 19)
661 (3500, 19)
662 (7995, 19)
663 (4844, 19)
664 (2970, 19)
665 (2784, 19)
666 (2695, 19)
667 (6138, 19)
668 (1389, 19)
669 (930, 19)
670 (2546, 19)
671 (9488, 19)
672 (6994, 19)
673 (6677, 19)
674 (5021, 19)
675 (10228, 19)
676 (5093, 19)
677 (10508, 19)
678 (678, 19)
679 (679, 19)
680 (4851, 19)
681 (4236, 19)
682 (10912, 19)
683 (442, 19)
684 (3515, 19)
685 (2829, 19)
686 (9884, 19)
687 (3025, 19)
688 (4826, 19)
689 (3241, 19)
690 (10639, 19)
691 (2301, 19)
692 (7878, 19)
693 (1484, 19)
694 (4887, 19)
695 (8930, 19)
696 (4615, 19)
697 (6394, 19)
698 (1507, 19)
699 (8808, 19)
700 (5825, 19)
701 (5357, 19)
702 (4158, 19)
703 (8236, 19)
704 (10520, 19)
705 (10774, 19)
706 (1273, 19)
707 (2079, 19)
708 (6773, 19)
709 (1532, 19)
710 (4861, 217)
711 (2427, 19)
712 (6078, 19)
713 (4028, 19)
714 (1613, 19)
715 (5494, 19)
716 (9642, 19)
717 (6775, 118)
718 (8962, 19)
719 (8271, 19)
720 (9201, 19)
721 (810, 19)
722 (5719, 19)
723 (7153, 19)
724 (3813, 19)
725 (319, 19)
726 (3348, 19)
727 (1937, 19)
728 (2816, 19)
729 (3442, 19)
730 (3076, 19)
731 (4238, 19)
732 (1383, 19)
733 (586, 19)
734 (2585, 19)
735 (14, 118)
736 (3369, 19)
737 (7431, 19)
738 (5932, 19)
739 (9467, 19)
740 (6728, 19)
741 (3625, 19)
742 (1792, 19)
743 (6144, 19)
744 (3975, 19)
745 (5227, 19)
746 (7198, 19)
747 (7389, 19)
748 (4614, 19)
749 (8427, 19)
750 (769, 19)
751 (6067, 19)
752 (8254, 118)
753 (9907, 19)
754 (269, 19)
755 (4263, 19)
756 (3317, 19)
757 (7708, 19)
758 (1754, 19)
759 (3727, 19)
760 (5135, 19)
761 (7917, 19)
762 (68, 19)
763 (4829, 19)
764 (10018, 19)
765 (4396, 19)
766 (3064, 19)
767 (10306, 19)
768 (2892, 19)
769 (5927, 118)
770 (3961, 19)
771 (753, 118)
772 (2759, 19)
773 (922, 19)
774 (9150, 19)
775 (3588, 19)
776 (776, 19)
777 (10089, 19)
778 (4818, 19)
779 (10718, 19)
780 (9754, 19)
781 (6813, 19)
782 (6806, 19)
783 (3676, 19)
784 (7002, 19)
785 (8124, 19)
786 (1592, 19)
787 (10445, 19)
788 (2883, 19)
789 (2155, 19)
790 (1581, 19)
791 (7797, 19)
792 (7572, 19)
793 (444, 19)
794 (9886, 19)
795 (8200, 19)
796 (6092, 118)
797 (4758, 19)
798 (9722, 19)
799 (957, 19)
800 (10370, 217)
801 (2566, 118)
802 (3693, 19)
803 (3407, 19)
804 (10324, 19)
805 (759, 19)
806 (1823, 19)
807 (593, 19)
808 (681, 19)
809 (10152, 19)
810 (10236, 19)
811 (6366, 19)
812 (8695, 118)
813 (4695, 118)
